Master Doküman Listesi;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Doküman Kodu;Doküman Adý;;Doküman Ýngilizce Adý;Tipi;Hazýrlama Tarihi;"Revizyon
No";"Revizyon
Tarihi";Revize Eden;Sorumlu Kýsým;Revizyon Nedeni;Revizyon;Son Gözden Geçirme Tarihi;Gelecek Gözden Geçirme Tarihi;Gözden Geçirme Periyodu ;Onay Tarihi;Kullanýldýðý Süreçler;Doküman Sorumlusu;Arþivleme Süresi
FR.10-YK.PR.01;Genel Kurul Gündemi;;;Form;17.04.2019;0;23.05.2019;Mehmet Uzun;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;23.05.2019;;;0
FR.11-BC.PR.03;Tez Ýzleme Dönemi Nihai Rapor Deðerlendirme Formu;;;Form;12.04.2019;1;12.03.2021;Ýrem Yalçýnkaya;Bilimsel Çalýþmalar;Dokümana yeni maddeler eklendi.;;03.06.2024;03.06.2025;12;22.03.2021;;;0
FR.11-EG.PR.02;OBM Uygulayýcý Eðitimi Sýnav Analiz Tablosu;;;Form;30.03.2020;0;30.03.2020;Çiðdem Bayram;Eðitim Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;30.03.2020;;Fatih Kerem Yardým;0
FR.11-II.RH.01;Proforma Fatura Formu;;;Form;05.04.2019;1;19.08.2024;Tuðba Uður;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Kdv oraný revize edilmiþtir.;;28.08.2024;28.08.2025;12;28.08.2024;;Aytuç Aktaþ;0
FR.11-IK.PR.01;Ýþ Teklif Formu;;;Form;08.03.2019;1;29.07.2020;Nebahat Seçil Kocabaþ;Ýnsan Kýymetleri;Ýçerik güncelleme;;03.06.2024;03.06.2025;12;14.08.2020;;;0
FR.11-KY;Kurumsal Öðrenme ve Geliþim Faaliyetleri Tablosu;;;Form;08.04.2019;0;08.04.2019;Özge Özcan;Yönetim Sistemleri Müdürlüðü;Yeni Doküman;;03.06.2024;03.06.2025;12;08.04.2019;;;0
FR.11-KY.PR.02;Öneri Formu;;;Doküman;19.10.2018;1;25.01.2019;Elif Çark Kahraman;Yönetim Sistemleri Müdürlüðü;Doküman Yönetimi Prosedürü revizesi ile form þablonuna uygun olabilmesi adýna gözden geçirme yapýlarak revize edilmiþtir.;;03.06.2024;03.06.2025;12;25.01.2019;;;0
FR.11-KY.PR.10;Kurum Ýçi Ýletiþim Yöntemleri Deðerlendirme Anketi;;;Form;05.03.2020;0;05.03.2020;Özge Özcan;Yönetim Sistemleri;Yeni Doküman;;03.06.2024;03.06.2025;12;05.03.2020;;;0
FR.11-ML.YN.02;Bütçe Aktarým Dilekçesi;;;Form;01.01.2015;3;20.05.2020;Ýsmail Güçlüsan;Finans ve Mali Ýþler Müdürlüðü;Onay bölümü revize edilmiþtir.;;03.06.2024;03.12.2024;6;20.05.2020;;;60
FR.11-MY;Yeþilay Ýktisadi Antetli Kaðýdý Þablonu;;;Form;13.06.2018;2;18.08.2022;Fatih Yaþar;Stratejik Ýletiþim;Firma unvan deðiþikliði yapýldý.;;03.06.2024;03.06.2025;12;18.08.2022;;;0
FR.11-PY.PR.05;Payment Request for Grant Contract;;;Doküman;14.07.2021;0;14.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.11-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Sorumluluk Matrisi Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.11-PY.SZ.01;Nihai Rapor Teknik;;;Form;07.01.2015;1;28.02.2019;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;Doküman gözden geçirilmiþ ve sözleþme kapsamýnda ilgili form revize edilmiþtir.;;03.06.2024;03.06.2025;12;07.03.2019;;;0
FR.11-RH;DÜÞEN DANIÞAN AYLIK VERÝ TOPLAMA FORMU;;;;01.04.2023;0;01.04.2023;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;01.04.2023;01.04.2024;12;01.04.2023;;Oya Batu;0
FR.11-RH.PR.07;ZAYÝ ÝLAÇ TUTANAÐI FORMU;;;;10.07.2024;0;10.07.2024;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;10.07.2024;10.07.2025;12;10.07.2024;;Oya Batu;0
FR.11-RH.PR.24;TEDAVI? PUANLAMA FORMU;;;;01.04.2023;0;01.04.2023;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;01.04.2023;01.04.2024;12;01.04.2023;;Oya Batu;0
FR.11-SO.PR.O4;Eðitici Kýlavuzu ;;;Kýlavuz;04.09.2024;0;04.09.2024;Ýrem Kuruçay;Þube Operasyonlarý;Yeni Doküman;;04.09.2024;04.09.2025;12;04.09.2024;;;60
FR.11-YD.PR.03;Ailelere Yönelik Oyun Takvimi.;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.11-YE.KL.03;Ev Ziyaret Ýzleme Formu;;;Form;01.01.2017;0;01.01.2017;Gülsüm Melike Þimþek;YEDAM Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;01.01.2017;;;0
FR.11-YK.PR.01;Yönetim, Denetim, Disiplin Kurulu Asil ve Yedek Üye Teklif Formu;;;Form;17.04.2019;0;23.05.2019;Mehmet Uzun;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;23.05.2019;;;0
FR.12-BC.PR.03;Yeþilay Yayýnlarý Eser Öneri Formu;;;Form;07.10.2015;1;12.04.2019;Nesrin Özkan;Bilimsel Çalýþmalar Savunuculuk Müdürlüðü;Doküman numarasý deðiþtirilerek yeni formata aktarýldý.;;03.06.2024;03.06.2025;12;12.04.2019;;;0
FR.12-EG.PR.02;OBM Uygulayýcý Eðitimi Deðerlendirme Raporu;;;Form;30.03.2020;0;30.03.2020;Çiðdem Bayram;Eðitim Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;30.03.2020;;Fatih Kerem Yardým;0
FR.12-II.RH.01;Fuar Satýþ Raporu Formu;;;Form;01.01.2017;1;05.04.2019;Ceren GÜVEN;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Ýktisadi Ýþletme Rehberi kapsamýnda revize edilmiþtir.;;03.06.2024;03.06.2025;12;25.04.2019;;;0
FR.12-IK.PR.01;Grup Mülakatý Deðerlendirme Formu;;;Form;08.03.2019;0;08.03.2019;Çiðdem KOREL;Ýnsan Kýymetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;08.03.2019;;;0
FR.12-IK.PR.02;Zimmet Formu ;;;Form;01.01.2017;3;02.07.2019;Dilek Mercan Kara;Ýnsan Kýymetleri;Zimmet ve iliþik kesme formu zimmet formu olarak güncellenmiþtir.;;03.06.2024;03.06.2025;12;02.07.2019;;;0
FR.12-KY;Stratejik Ýþbirlikleri Yetenek Analiz Tablosu;;;Form;08.04.2019;0;08.04.2019;Elif Çark Kahraman;Yönetim Sistemleri Müdürlüðü;Yeni Doküman;;03.06.2024;03.06.2025;12;08.04.2019;;;0
FR.12-KY.PR.01;Yönetmelik Þablonu;;;Form;08.03.2019;0;08.03.2019;Büþra Koç Solak;Yönetim Sistemleri Müdürlüðü;Yeni Doküman;;03.06.2024;03.06.2025;12;11.03.2019;;;60
FR.12-MY;Klasör Sýrtlýðý Þablonu;;;Doküman;01.11.2018;0;19.11.2018;;Stratejik Ýletiþim Müdürlüðü;Yeni Doküman;;03.06.2024;03.06.2025;12;19.11.2018;;;0
FR.12-MY.PR.01;Marka Yönetimi Brief Formu;;;Doküman;22.01.2020;1;16.10.2023;Esra Ünalan;Stratejik Ýletiþim;Form sadeleþtirilmiþtir.;;08.09.2024;08.09.2025;12;08.09.2024;;Özcan Çalýþkan;0
FR.12-PY.PR.05;3rd International Financial Support Program Project Application Form;;;Doküman;14.07.2021;0;14.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.12-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Süreç Kararlarý Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.12-PY.SZ.01;Ödeme Talebi;;;Form;25.07.2015;1;28.02.2019;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;Doküman gözden geçirilmiþ ve sözleþme kapsamýnda form revize edilmiþtir.;;03.06.2024;03.06.2025;12;07.03.2019;;;0
FR.12-RH;DÜÞEN DANIÞAN BÝLDÝRÝM FORMU;;;;01.04.2023;0;01.04.2023;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;01.04.2023;01.04.2024;12;01.04.2023;;Oya Batu;0
FR.12-RH.PR.07;KVKK;;;;01.04.2023;0;01.04.2023;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;01.04.2023;01.04.2024;12;01.04.2023;;Oya Batu;0
FR.12-RH.PR.24;TEMÝZLÝK VE DEZENFEKSÝYON PLANI;;;;10.07.2024;0;10.07.2024;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;10.07.2024;10.07.2025;12;10.07.2024;;Oya Batu;0
FR.12-YD.PR.03;Akýllý Telefon Baðýmlýlýðý Ölçeði.;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.12-YE;Aile Deðerlendirme Formu;;;Form;28.02.2017;0;28.02.2017;Gülsüm Melike Þimþek;YEDAM Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;28.02.2017;;;0
FR.12-YK.PR.01;Genel Kurul Toplantý Divan Tutanaðý;;;Form;17.04.2019;0;23.05.2019;Mehmet Uzun;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;23.05.2019;;;0
FR.13-BC.PR.03;Bilim Kurulu Toplantý Raporu Formu;;;Form;06.01.2017;2;15.08.2024;Nesrin Özkan;Bilimsel Çalýþmalar;Rapor þablonu deðiþtirilmiþ ve imza bölümü kaldýrýlmýþtýr.;Rapor þablonu deðiþtirilmiþ ve imza bölümü kaldýrýlmýþtýr.;04.09.2024;04.09.2025;12;04.09.2024;;Hakan Çetin;0
FR.13-EG.PR.02;TBM Uygulayýcý Eðitimi Deðerlendirme Raporu;;;Form;30.03.2020;0;30.03.2020;Çiðdem Bayram;Eðitim Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;30.03.2020;;Fatih Kerem Yardým;0
FR.13-II.RH.01;Eðitim Teklif Formu;;;Form;24.04.2020;1;19.08.2024;Tuðba Uður;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Cari unvan deðiþtirilmiþtir.;;03.09.2024;03.09.2025;12;03.09.2024;;Aytuç Aktaþ;0
FR.13-IK.PR.02;Ýliþik Kesme Formu;;;Form;02.07.2019;0;02.07.2019;Dilek Mercan Kara;Ýnsan Kýymetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;02.07.2019;;;0
FR.13-KY;Teknolojik Geliþim Tablosu;;;Form;08.04.2019;1;01.07.2024;Tuba Özdemir;Program Proje ve Yönetim Sistemleri;GENEL OLARAK REVÝZE EDÝLDÝ;;05.09.2024;05.09.2025;12;05.09.2024;;Aynur Çataloðlu;0
FR.13-KY.PR.01;Doküman Onay-Daðýtým Matrisi;;;Form;20.05.2019;2;11.03.2022;Özge Özcan;Direktörlükler;Daðýtým matrisi güncellenmiþtir.;;03.06.2024;03.06.2025;12;08.07.2022;;;0
FR.13-MY;Green Crescent Antetli Kaðýdý Þablonu;;;Form;07.01.2021;0;07.01.2021;Fatih Yaþar;Stratejik Ýletiþim;Yeni Doküman;;03.06.2024;03.06.2025;12;07.01.2021;;;0
FR.13-PY.PR.05;UMDP Ýþ Planý Formu;;;Form;14.10.2021;0;14.10.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;14.10.2021;;;60
FR.13-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Proje Ekip Üyesi Durum Raporu Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.13-PY.SZ.01;Mali Kimlik Formu;;;Form;07.01.2015;1;28.02.2019;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;Doküman gözden geçirilmiþ ve sözleþme kapsamýnda form revize edilmiþtir.;;03.06.2024;03.06.2025;12;07.03.2019;;;0
FR.13-RH;DÜÞEN DANIÞAN YILLIK VERÝ ANALÝZ FORMU;;;;01.04.2023;0;01.04.2023;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;01.04.2023;01.04.2024;12;01.04.2023;;Oya Batu;0
FR.13-RH.PR.24;YARIM DOZ ÝLAÇ ÝMHA FORMU;;;;10.07.2024;0;10.07.2024;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;10.07.2024;10.07.2025;12;10.07.2024;;Oya Batu;0
FR.13-YD.PR.03;Akýllý Telefon Kullaným Takvimi;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.13-YK.PR.01;Denetleme Kurulu Raporu;;;Form;17.04.2019;0;23.05.2019;Mehmet Uzun;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;23.05.2019;;;0
FR.14-BC.PR.03;Burs Komisyonu Kabul Tutanaðý;;;Form;11.05.2015;1;12.04.2019;Ýrem Yalçýnkaya;Bilimsel Çalýþmalar Savunuculuk Müdürlüðü;Doküman numarasý deðiþtirilerek yeni formata aktarýldý.;;03.06.2024;03.06.2025;12;12.04.2019;;;0
FR.14-II.RH.01;Kurum Dergi Abonelik Sözleþmesi;;;Sözleþme;24.04.2020;1;19.08.2024;Tuðba Uður;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Cari unvan deðiþtirilmiþtir.;;03.09.2024;03.09.2025;12;03.09.2024;;Aytuç Aktaþ;0
FR.14-IK.PR.01;Görev Yeri Deðiþikliði Bildirim Formu;;;Form;10.01.2020;5;22.07.2024;Ýlayda Salman;Ýnsan Kýymetleri;"onay alaný kiþi bilgisi deðiþti.
imza alaný güncellendi. ";;22.07.2024;22.07.2025;12;22.07.2024;;Hatice Bardakçý;0
FR.14-IK.PR.02;Cemiyet Fesih Yazýsý;;;Form;22.02.2022;1;22.07.2024;Ýlayda Salman;Ýnsan Kýymetleri;imza alaný güncellendi.;;22.07.2024;22.07.2025;12;22.07.2024;;;0
FR.14-KY;Ürün Hizmet Kartlarý Tablosu;;;Doküman;29.08.2023;0;29.08.2023;Meral Hacýoðlu;Yönetim Sistemleri;Yeni Doküman;;31.08.2023;31.08.2024;12;31.08.2023;;;60
FR.14-KY.PR.01;Talimat Þablonu Direktör Onaylý;;;Doküman;06.05.2020;1;01.04.2021;Mehmet Uzun;Yönetim Sistemleri;Ýçerik;;03.06.2024;03.06.2025;12;13.10.2021;;;0
FR.14-MY;Green Crescent ÝFGC Antetli Kaðýdý Þablonu;;;Form;07.01.2021;0;07.01.2021;Fatih Yaþar;Stratejik Ýletiþim;Yeni Doküman;;03.06.2024;03.06.2025;12;07.01.2021;;;0
FR.14-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Proje Seyir Defteri Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.14-PY.SZ.01;Kimlik Beyan Formu - (Tuzel Kisiler);;;Form;11.11.2015;1;28.02.2019;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;Süreç yönetim sistemi çalýþmalarý kapsamýnda revize edilmiþtir.;;03.06.2024;03.06.2025;12;07.03.2019;;;0
FR.14-RH;DÜZELTÝCÝ  ÖNLEYÝCÝ  FAALÝYET ÝSTEK FORMU;;;;01.04.2023;0;01.04.2023;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;01.04.2023;01.04.2024;12;01.04.2023;;Oya Batu;0
FR.14-YD.PR.03;Bapint Kýsa Formu.;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.14-YE;Deðiþim Defteri;;;Form;01.01.2017;0;01.01.2017;Gülsüm Melike Þimþek;YEDAM Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;01.01.2017;;;0
FR.14-YK.PR.01;Açýk Oylama Divan Teklifi;;;Form;17.04.2019;0;23.05.2019;Mehmet Uzun;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;23.05.2019;;;0
FR.15-BC.PR.03;Bursiyer Deðerlendirme Tablosu;;;Form;11.05.2015;1;12.04.2019;Ýrem Yalçýnkaya;Bilimsel Çalýþmalar Savunuculuk Müdürlüðü;Doküman numarasý deðiþtirilerek yeni formata aktarýldý.;;03.06.2024;03.12.2024;6;12.04.2019;;;0
FR.15-ID.PR.03;Temizlik Hizmet Seviyesi (SLA) Formu;;;Form;06.02.2019;1;14.07.2023;Meral Hacýoðlu;Ýdari Ýþler;Form revize edilmiþtir.;;24.08.2023;24.08.2024;12;24.08.2023;;;60
FR.15-II.PR.02;Açmalý Kahve Sipariþ Durum Raporu Formu;;;Form;29.07.2020;0;29.07.2020;Hatice Baþar;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Yeni Doküman;;03.06.2024;03.06.2025;12;29.07.2020;;;0
FR.15-IK.PR.02;Cemiyet Personel Alým Yazýsý;;;Form;22.02.2022;1;22.07.2024;Ýlayda Salman;Ýnsan Kýymetleri;imza alaný güncellendi.;;22.07.2024;22.07.2025;12;22.07.2024;;;0
FR.15-KY.PR.01;Prosedür Kýlavuz Rehber ve El Kitabý Þablonu  Direktör Onaylý;;;Doküman;06.05.2020;1;01.04.2021;Mehmet Uzun;Yönetim Sistemleri;Ýçerik;;03.06.2024;03.06.2025;12;13.10.2021;;;0
FR.15-MY;Yeþilay Cemiyeti Antetli Kaðýt Þablonu;;;Form;07.01.2021;0;07.01.2021;Fatih Yaþar;Stratejik Ýletiþim;Yeni Doküman;;03.06.2024;03.06.2025;12;07.01.2021;;;0
FR.15-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Proje Yönetim Planý Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.15-PY.SZ.01;Ek 9 - Performans Göstergeleri;;;Form;11.11.2015;0;11.11.2015;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;11.11.2015;;;0
FR.15-YD.PR.03;Durum Bildirme Raporu;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.15-YE;Ergen Hasta Formu;;;Form;28.01.2016;0;28.01.2016;Gülsüm Melike Þimþek;YEDAM Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;28.01.2016;;;0
FR.15-YK.PR.01;Yönetim Kurulu Ýcra Kararlarý Formu;;;Form;17.04.2019;0;23.05.2019;Mehmet Uzun;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;23.05.2019;;;0
FR.16-BC.PR.03;Tez Ýzleme Dönemi Ara Rapor Deðerlendirme Formu;;;Form;11.05.2015;2;12.03.2021;Ýrem Yalçýnkaya;Bilimsel Çalýþmalar;Dokümana yeni maddeler eklendi.;;03.06.2024;03.12.2024;6;22.03.2021;;;0
FR.16-EG.PR.02;TBM Uygulayýcý Eðitimi Sýnav Analiz Tablosu;;;Form;30.03.2020;0;30.03.2020;Çiðdem Bayram;Eðitim Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;30.03.2020;;Fatih Kerem Yardým;0
FR.16-ID;Temizlik Denetim Formu (KPI);;;Form;28.02.2018;2;14.07.2023;Elif Nur Bilici;Ýdari Ýþler;Form revize edilmiþtir;;24.08.2023;24.08.2024;12;24.08.2023;;;60
FR.16-ID.PR.03;Sekretarya Aylýk Raporu;;;Doküman;06.02.2019;0;06.02.2019;Duygu Demir;Direktörlükler_Eski;Yeni Doküman;;03.06.2024;03.06.2025;12;14.02.2019;;;60
FR.16-II.PR.02;Açmalý Kahve Günlük Kasa Raporu Formu;;;Form;29.07.2020;0;29.07.2020;Esra Gürz;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Yeni Doküman;;03.06.2024;03.06.2025;12;29.07.2020;;;0
FR.16-IK.PR.02;Vakýf Fesih Yazýsý;;;Doküman;22.02.2022;1;22.07.2024;Ýlayda Salman;Ýnsan Kýymetleri;imza alaný güncellendi.;;22.07.2024;22.07.2025;12;22.07.2024;;;0
FR.16-MY;Örnek Paylaþým Planý;;;Form;02.08.2023;0;02.08.2023;Gürkan Fidan;Stratejik Ýletiþim;Yeni Doküman;;03.06.2024;03.06.2025;12;02.08.2023;;;0
FR.16-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Talep Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.16-PY.SZ.01;Ek 10 - Ortaklýk Beyannamesi;;;Form;09.01.2015;0;09.01.2015;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;09.01.2015;;;0
FR.16-YD.PR.03;Ergen karþýlýklý sorumluluklar;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.16-YK.PR.01;Yönetim Kurulu Ýcra ve Yönetim Kurulu Toplantý Kararlarý Formu;;;Form;20.12.2019;1;23.01.2020;Müjde Yýldýz;YK Destek Hizmetleri;iÇERÝK ÝNCELENMÝÞ OLUP GELÝÞTÝRME YAPILMIÞTIR.;;03.06.2024;03.06.2025;12;24.01.2020;;;0
FR.17-BC.PR.03;Burs Baþvuru Rehberi Þablonu;;;Form;12.04.2019;1;22.08.2024;Nesrin Özkan;Bilimsel Çalýþmalar;Dokümanýn þablonu ve içeriði deðiþtirilmiþtir.;Online burs sistemine geçiþ nedeniyle doküman þablonu ve içeriði deðiþtirilmiþtir.;05.09.2024;05.09.2025;12;05.09.2024;;Hakan Çetin;0
FR.17-EG.PR.02;Katýlýmcý Belgesi;;;Form;30.03.2020;0;30.03.2020;Çiðdem Bayram;Eðitim Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;30.03.2020;;Fatih Kerem Yardým;0
FR.17-ID;Vukuat Raporu;;;Form;19.03.2018;0;19.03.2018;Duygu Demir;Ýdari Ýþler;Yeni Doküman;;03.06.2024;03.06.2025;12;20.03.2018;;;60
FR.17-ID.PR.03;Mutfak Ýhtiyaç Listesi;;;Form;06.02.2019;0;06.02.2019;Duygu Demir;Direktörlükler_Eski;Yeni Doküman;;03.06.2024;03.06.2025;12;13.02.2019;;;60
FR.17-II.PR.02;Açmalý Kahve Aylýk Gelir Gider Tablosu;;;Form;29.07.2020;0;29.07.2020;Hatice Baþar;Yeþilay Danýþmanlýk ve Pazarlama A.Þ.;Yeni Doküman;;03.06.2024;03.06.2025;12;29.07.2020;;;0
FR.17-IK.PR.02;Vakýf Personel Alým Yazýsý;;;Doküman;22.02.2022;1;22.07.2024;Ýlayda Salman;Ýnsan Kýymetleri;imza alaný güncellendi.;;22.07.2024;22.07.2025;12;22.07.2024;;;0
FR.17-MY;Örnek Paylaþým Planý;;;Form;02.08.2023;0;02.08.2023;Gürkan Fidan;Stratejik Ýletiþim;Yeni Doküman;;03.06.2024;03.06.2025;12;02.08.2023;;;0
FR.17-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Tedarik Yönetim Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.17-PY.SZ.01;Ek 11 - Proje Faaliyetleri Tablosu;;;Form;11.11.2015;0;11.11.2015;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;11.11.2015;;;0
FR.17-YD.PR.03;Ergen KÝG.;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
FR.17-YE;Kiþi Dýþýnda Görüþme Formu;;;Form;07.09.2015;0;07.09.2015;Gülsüm Melike Þimþek;YEDAM Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;07.09.2015;;;0
FR.17-YK.PR.01;Etkinlik / Program Bilgi Notu;;;Form;03.01.2020;0;03.01.2020;Arzu Kolçak;YK Destek Hizmetleri;Yeni Doküman;;03.06.2024;03.06.2025;12;03.01.2020;;;0
FR.18-BC.PR.03;Addicta Baþ Editör Formu;;;Form;12.11.2020;0;12.11.2020;Nesrin Özkan;Bilimsel Çalýþmalar;Yeni Doküman;;03.06.2024;03.06.2025;12;12.11.2020;;;0
FR.18-EG.PR.02;Farkýndalýk Eðitimi Deðerlendirme Raporu;;;Form;30.03.2020;0;30.03.2020;Çiðdem Bayram;Eðitim Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;30.03.2020;;Fatih Kerem Yardým;0
FR.18-ID.PR.03;Mutfak Hijyen Denetim Formu;;;Form;13.02.2019;1;16.03.2020;Duygu Demir;Ýdari Ýþler;Doküman güncelleme;;03.06.2024;03.06.2025;12;16.03.2020;;;0
FR.18-PY.PR.06;Yeþilay Proje Yönetimi Metodolojisi Toplantý Notlarý Formu;;;Form;05.07.2021;0;05.07.2021;Deniz Deren Önen;Proje ve Program Geliþtirme Yönetimi;Yeni Doküman;;03.06.2024;03.06.2025;12;02.09.2021;;;60
FR.18-PY.RH.05;Ek 1-A Ýþ Tanýmý Standart Formu;;;Form;08.01.2015;0;08.01.2015;Ayþe CENGÝZ;Proje ve Program Geliþtirme Müdürlüðü;QDMS'e geçiþ;;03.06.2024;03.06.2025;12;08.01.2015;;;0
FR.18-RH;Hasta Bakým Planý FORMU ;;;;10.07.2024;0;10.07.2024;Zeliha Gizem Ýzci;Rehabilitasyon;Yeni doküman;;10.07.2024;10.07.2025;12;10.07.2024;;Oya Batu;0
FR.18-YD.PR.03;Ýnternet Çocuk-Ergen Karþýlýklý Sorumluluklarýmýz;;;Doküman;16.08.2024;0;16.08.2024;Þehidan Sena Bilgir;Yedam Bölümü;Yeni Doküman;;16.08.2024;16.02.2025;6;16.08.2024;;;0
